DATE,PRAWMINDEXM
1990-01-01,72.855084613206
1990-02-01,73.4496579454025
1990-03-01,74.1720767649351
1990-04-01,76.0220772561539
1990-05-01,75.4189592737388
1990-06-01,75.563455101076
1990-07-01,76.236284100606
1990-08-01,73.8682085742752
1990-09-01,73.2046010699146
1990-10-01,73.1551274443118
1990-11-01,73.0294213127525
1990-12-01,72.6581645794126
1991-01-01,71.2459061210422
1991-02-01,72.4889069963429
1991-03-01,71.0639906829187
1991-04-01,71.8973668752129
1991-05-01,72.8236510820082
1991-06-01,74.0392244847528
1991-07-01,72.2670045123757
1991-08-01,71.0297080082532
1991-09-01,71.4909275560339
1991-10-01,70.0832411247033
1991-11-01,68.8190611413338
1991-12-01,68.7552517553073
1992-01-01,67.2017913105985
1992-02-01,68.2029292780563
1992-03-01,68.5730758062043
1992-04-01,72.5088765850084
1992-05-01,72.2737316401634
1992-06-01,72.8021679849436
1992-07-01,73.511162634811
1992-08-01,71.6854220074709
1992-09-01,71.4872378359866
1992-10-01,71.8366840575871
1992-11-01,72.1129691072368
1992-12-01,72.4280417553152
1993-01-01,72.7252567883751
1993-02-01,77.0243140677019
1993-03-01,78.7319067233947
1993-04-01,83.804626306133
1993-05-01,88.8084619984039
1993-06-01,87.2556320779667
1993-07-01,88.4128147499088
1993-08-01,84.8568928163334
1993-09-01,83.9517799025822
1993-10-01,84.2735137448395
1993-11-01,82.8696744263804
1993-12-01,82.914561294461
1994-01-01,84.9365264581794
1994-02-01,88.9157197087905
1994-03-01,89.1595777656111
1994-04-01,94.8374991777108
1994-05-01,95.2054317858229
1994-06-01,98.3524576979827
1994-07-01,96.859343058383
1994-08-01,97.2685439420703
1994-09-01,95.2442391997351
1994-10-01,93.8797439924642
1994-11-01,94.5755065556889
1994-12-01,98.5013052851982
1995-01-01,101.299308274119
1995-02-01,104.030877955406
1995-03-01,108.304706363528
1995-04-01,109.415387827582
1995-05-01,109.402551728528
1995-06-01,105.085983543037
1995-07-01,99.1090489049835
1995-08-01,94.680056597016
1995-09-01,95.4148141238547
1995-10-01,93.7823778578201
1995-11-01,98.1998409269647
1995-12-01,96.9463590464432
1996-01-01,95.346221106425
1996-02-01,94.7921359826297
1996-03-01,96.0033428187022
1996-04-01,93.3879674600415
1996-05-01,95.9800498031225
1996-06-01,96.5099247938051
1996-07-01,93.9554692431514
1996-08-01,94.0171845659828
1996-09-01,95.8285072994633
1996-10-01,94.1236857002958
1996-11-01,95.0821043615208
1996-12-01,91.351751913513
1997-01-01,93.4306751704101
1997-02-01,93.6148984272486
1997-03-01,93.4577842743389
1997-04-01,89.5986794519155
1997-05-01,91.3183449971014
1997-06-01,89.5295314186176
1997-07-01,88.8221623577347
1997-08-01,85.2538241366071
1997-09-01,83.1106901760033
1997-10-01,80.0648044243697
1997-11-01,80.2356001713516
1997-12-01,74.8065901523809
1998-01-01,71.9736854380846
1998-02-01,75.1989857478478
1998-03-01,74.1719973926825
1998-04-01,73.7281726510799
1998-05-01,72.956108234192
1998-06-01,71.9110611097786
1998-07-01,69.6808214150721
1998-08-01,69.7380115757125
1998-09-01,70.8871225600837
1998-10-01,69.109124911394
1998-11-01,68.3341328946977
1998-12-01,68.3417055371488
1999-01-01,69.7915175610562
1999-02-01,69.6617420558082
1999-03-01,70.5785298011048
1999-04-01,69.4083257597118
1999-05-01,71.4307939979354
1999-06-01,71.1228479667491
1999-07-01,70.0735763892961
1999-08-01,69.9624390919128
1999-09-01,72.0333308116406
1999-10-01,73.1275393937928
1999-11-01,72.9181892429997
1999-12-01,72.2989989208419
2000-01-01,71.2642877558951
2000-02-01,74.7848929881852
2000-03-01,75.9592453413291
2000-04-01,75.4420871852415
2000-05-01,76.3662151534865
2000-06-01,75.1446394023451
2000-07-01,73.574182770331
2000-08-01,71.061273667622
2000-09-01,72.7169410357247
2000-10-01,71.511904693527
2000-11-01,73.1992276563688
2000-12-01,68.3093225950279
2001-01-01,71.442514138329
2001-02-01,70.9696552622191
2001-03-01,67.4207815250081
2001-04-01,68.901251253942
2001-05-01,67.9671138411615
2001-06-01,68.5634131569891
2001-07-01,66.2190015137791
2001-08-01,64.8016891836085
2001-09-01,63.1150457858996
2001-10-01,60.0975960041196
2001-11-01,61.0033045712829
2001-12-01,60.4742776698067
2002-01-01,60.9192094472556
2002-02-01,63.1979009342496
2002-03-01,62.1779131753108
2002-04-01,62.959154408949
2002-05-01,63.3425847786218
2002-06-01,66.5933781201324
2002-07-01,69.519529620504
2002-08-01,70.9776208810115
2002-09-01,74.0798979169138
2002-10-01,73.6344148892925
2002-11-01,73.4660095706919
2002-12-01,73.8902816057079
2003-01-01,75.8185239048643
2003-02-01,76.4015565707507
2003-03-01,75.9890592664617
2003-04-01,77.5150718312006
2003-05-01,74.8646416085577
2003-06-01,76.3508113968836
2003-07-01,76.8202757673523
2003-08-01,77.6507575767309
2003-09-01,79.2253775670803
2003-10-01,83.0391863566297
2003-11-01,83.4530406964022
2003-12-01,81.470135531144
2004-01-01,83.777162968253
2004-02-01,85.7337173020849
2004-03-01,85.3346979693948
2004-04-01,85.0704552912179
2004-05-01,87.956892930219
2004-06-01,87.2373291327675
2004-07-01,84.7606412943661
2004-08-01,84.2706200165706
2004-09-01,84.150219584643
2004-10-01,83.6751856429655
2004-11-01,81.3510923542514
2004-12-01,78.4043594189963
2005-01-01,82.1356616505123
2005-02-01,82.2102978921335
2005-03-01,86.8615595568859
2005-04-01,84.9836771984162
2005-05-01,85.6853527782146
2005-06-01,85.8697204349819
2005-07-01,87.0137773744397
